crop_idx,soil_idx,irrigation,day_of_year,rain_7d,has_dry_gap,temp_mean,success
4,0,0,199,35.9,0,27.8,1
0,2,1,171,15.4,1,20.2,0
3,1,0,327,0.5,0,18.5,0
4,2,0,189,24.3,1,30.1,1
0,2,0,228,14.2,0,25.9,0
4,1,0,191,30.6,1,35.9,0
3,0,0,322,22.0,0,19.1,1
4,0,0,178,10.6,1,29.7,0
4,0,1,152,41.4,0,31.4,1
2,0,0,126,13.9,1,28.6,0
4,1,0,206,39.1,0,29.9,0
3,0,0,310,36.9,0,20.8,0
2,1,0,179,0.5,1,25.8,0
3,2,0,308,13.8,0,19.6,0
2,2,1,138,73.8,0,27.0,1
1,0,0,186,40.3,0,22.8,1
3,2,0,316,19.1,0,18.3,1
2,0,0,213,27.0,1,23.6,0
4,1,0,190,5.3,1,18.3,0
1,1,0,153,4.9,1,30.5,0
0,2,1,174,23.5,0,32.6,1
4,0,0,197,106.9,0,27.7,1
3,1,0,324,15.3,0,23.2,0
4,2,0,154,60.6,0,29.3,1
2,1,0,173,60.0,1,29.5,1
3,2,1,349,1.8,1,21.0,0
0,1,0,196,8.0,0,25.7,1
1,1,0,226,82.8,0,28.5,1
1,0,0,211,54.0,0,31.1,1
4,1,0,184,15.7,1,28.1,0
2,0,0,204,14.8,1,29.3,0
3,0,1,326,2.0,1,20.4,1
3,1,0,279,2.3,1,19.0,0
0,2,1,173,50.3,0,31.6,1
1,2,0,174,19.2,1,28.0,0
2,0,0,188,8.3,0,32.4,0
4,0,0,195,38.7,0,26.6,1
1,0,0,129,29.2,1,18.1,0
1,1,0,145,21.8,0,27.9,0
1,2,1,199,21.3,0,28.9,0
4,0,0,173,22.1,1,27.6,0
1,1,0,171,67.6,0,27.7,1
2,2,0,191,0.2,1,27.9,0
0,1,0,145,26.7,1,26.4,0
4,2,0,174,3.8,1,30.3,0
1,1,1,187,36.8,1,27.8,1
4,2,0,186,5.0,0,30.8,0
2,1,0,210,14.6,0,31.9,0
1,1,1,168,106.5,0,30.7,1
0,2,0,180,94.2,0,27.0,1
4,0,1,201,38.5,0,30.0,1
1,1,0,183,68.8,0,32.6,1
0,2,0,191,10.8,0,33.1,1
3,0,1,333,24.2,0,18.5,1
1,0,1,174,72.7,0,26.6,1
1,0,1,187,3.6,0,30.1,0
1,1,0,186,4.8,1,31.6,0
1,0,1,180,59.0,1,24.6,1
0,1,0,206,23.8,1,26.9,0
0,2,0,196,45.3,1,28.5,0
4,1,0,173,104.4,0,26.6,1
4,1,0,178,27.5,1,27.5,0
0,0,1,145,9.8,1,25.5,0
1,0,1,178,52.3,0,26.8,1
4,1,0,213,40.2,0,27.5,1
2,2,0,183,9.3,0,21.9,1
2,0,0,179,21.2,0,31.0,0
2,1,0,194,24.9,0,30.2,1
2,0,0,174,13.2,1,28.9,0
1,1,0,176,15.7,0,32.9,0
4,1,0,114,34.3,1,36.9,0
3,2,0,306,21.7,0,22.2,1
1,2,0,178,18.3,1,22.1,1
1,1,0,166,63.4,0,28.5,1
2,0,0,181,24.2,0,34.3,1
0,1,0,174,3.4,0,26.7,1
2,1,0,195,8.2,0,26.3,0
4,1,0,201,91.4,0,25.3,1
3,1,1,298,32.2,0,23.4,1
1,0,1,150,58.0,0,21.9,1
4,1,1,174,24.5,1,25.9,1
3,2,0,299,5.9,1,15.5,0
1,1,1,113,6.5,0,28.0,1
3,0,0,309,0.2,0,18.0,0
3,0,1,358,2.5,0,13.0,0
3,1,1,334,33.9,1,20.1,1
4,0,1,214,66.3,0,33.6,1
2,0,1,188,70.8,0,23.1,0
1,0,0,193,13.5,1,27.6,0
3,1,0,301,18.3,0,24.4,1
0,1,0,128,16.0,1,24.7,0
0,0,0,150,11.4,1,31.1,0
4,1,0,182,24.9,1,26.8,0
1,0,1,158,1.9,0,19.6,0
3,2,0,349,27.7,1,19.6,1
3,2,0,329,24.3,0,22.4,1
1,0,1,190,20.7,1,26.1,0
1,0,0,191,82.8,0,26.6,0
1,2,0,162,86.7,0,28.0,1
2,0,0,198,120.3,1,29.9,0
3,2,0,314,11.9,0,16.2,0
4,2,0,175,48.5,0,25.2,0
2,2,1,223,55.7,0,20.6,0
2,1,0,206,8.2,0,25.0,0
0,2,0,198,50.2,0,27.3,0
2,2,0,157,45.8,0,28.7,0
1,1,1,178,2.7,1,22.1,0
0,1,0,136,0.7,1,28.8,1
4,1,1,152,11.9,1,34.9,1
1,0,0,243,2.3,1,27.9,0
3,1,1,334,35.5,0,22.1,1
4,2,0,205,36.5,1,29.8,0
1,0,0,220,45.5,0,28.9,1
2,2,0,196,16.9,1,28.0,0
3,0,0,292,40.6,0,19.7,1
0,2,0,163,2.9,1,30.1,1
3,2,1,322,23.1,1,21.3,1
0,1,1,140,65.3,1,28.2,0
2,1,0,195,7.2,0,25.8,0
3,2,0,339,3.2,0,19.9,0
1,2,1,179,2.2,1,31.9,0
0,0,1,179,3.2,1,21.9,0
1,1,0,186,30.8,0,20.7,0
2,0,0,160,7.1,1,24.1,0
3,1,1,278,6.5,0,24.3,1
3,0,0,329,3.8,0,21.7,0
0,2,1,170,38.7,0,28.7,1
0,0,0,174,12.6,1,33.0,0
2,2,0,186,30.5,1,27.5,0
3,2,0,286,20.5,1,20.5,0
2,1,0,184,26.5,1,26.5,0
1,2,0,233,52.9,1,29.2,0
1,1,1,225,18.6,0,29.8,1
1,0,0,196,31.0,0,27.1,0
2,2,0,172,18.5,1,29.8,0
0,1,0,173,18.4,1,23.2,0
2,1,0,183,28.7,1,27.2,0
4,0,1,160,47.8,0,32.1,1
0,1,1,228,25.9,1,32.5,1
0,0,1,180,26.4,1,26.7,1
4,2,0,194,18.8,0,30.0,1
1,1,1,208,12.2,1,26.2,0
3,2,0,346,31.9,0,20.5,1
4,0,0,201,68.1,0,29.9,1
4,0,1,187,1.3,1,29.7,0
4,0,1,175,8.9,1,32.8,1
3,0,0,341,7.8,1,21.6,0
3,2,1,287,9.8,0,18.9,1
3,0,0,305,10.9,1,20.8,1
1,0,0,202,33.0,0,37.5,1
4,1,0,211,6.0,0,29.5,0
1,1,0,217,32.0,0,20.5,1
0,1,1,184,61.2,0,32.1,1
0,0,0,164,26.2,0,27.0,1
1,2,0,194,110.9,1,29.8,0
1,0,0,183,57.7,0,26.5,1
3,1,1,345,19.3,1,22.2,0
1,1,0,153,114.6,0,28.2,0
4,1,1,170,33.8,0,24.4,0
4,1,0,146,32.0,0,20.4,1
0,2,1,144,84.1,0,30.8,1
0,2,1,162,44.0,0,25.8,1
0,0,0,185,14.6,1,25.5,0
1,1,0,160,51.0,0,31.1,1
2,1,1,155,25.0,1,26.6,0
1,2,1,154,4.3,1,27.9,0
0,2,1,188,50.4,1,31.4,1
3,0,1,335,0.9,0,20.3,0
4,2,0,199,26.5,0,32.0,0
2,0,1,183,37.4,0,31.6,1
1,1,1,149,1.9,1,28.1,1
3,0,0,304,10.8,0,24.2,1
0,0,1,191,126.9,1,25.3,1
2,2,0,187,18.7,0,30.9,1
0,2,0,174,41.1,1,31.6,0
3,1,0,317,9.5,0,19.0,0
0,1,0,182,44.7,0,35.2,1
0,2,1,204,56.7,0,26.7,1
3,1,0,356,20.6,0,19.8,1
2,0,0,156,14.9,1,33.4,1
3,0,0,307,2.6,0,23.6,0
0,0,0,212,28.0,1,25.4,0
0,0,0,165,145.4,0,28.0,1
0,1,0,162,69.7,1,35.4,0
4,2,1,167,36.4,0,32.6,1
0,2,1,206,26.2,1,27.9,1
1,0,0,127,21.6,0,32.3,1
4,2,0,179,5.9,0,26.1,0
3,2,0,320,2.4,0,18.6,0
0,1,1,209,19.8,1,25.5,1
4,2,0,166,3.3,1,27.1,0
0,2,0,209,1.6,0,29.1,0
3,0,1,317,13.1,0,15.1,0
3,1,0,326,2.1,1,19.0,0
0,2,1,201,4.6,1,28.5,0
1,1,0,175,13.7,1,26.9,0
1,1,0,196,22.3,1,32.1,1
0,2,0,180,2.8,0,31.5,0
3,2,0,326,8.5,0,24.7,0
0,0,1,107,33.0,1,27.9,1
3,1,0,340,5.7,1,20.9,0
1,0,1,162,24.4,0,30.3,1
4,2,1,136,24.4,1,32.7,1
0,1,0,191,27.3,0,26.4,0
1,2,0,181,4.2,1,24.1,0
2,2,0,189,3.8,0,29.7,1
2,2,1,166,12.6,1,26.7,0
0,1,0,177,0.3,1,30.1,1
0,2,0,238,71.1,0,26.1,1
3,1,1,375,2.2,0,16.3,0
2,1,1,146,10.3,1,33.7,0
4,0,1,204,18.4,0,26.1,1
4,2,0,130,79.1,0,21.3,1
1,1,1,165,49.7,0,27.0,1
1,0,0,148,24.5,1,29.8,0
0,0,1,161,36.0,0,28.3,0
2,2,0,157,19.7,0,29.2,0
3,1,1,339,0.4,1,19.0,0
2,2,0,156,13.5,1,28.9,1
0,0,0,194,37.9,0,30.7,1
0,2,1,125,9.3,0,29.0,1
0,2,0,212,15.1,1,28.1,0
2,0,0,207,28.5,1,30.4,1
4,1,0,155,44.1,1,29.9,1
3,0,1,295,15.8,0,19.7,0
2,0,0,184,12.4,1,34.8,0
0,2,0,147,40.3,0,25.5,1
1,0,0,152,3.5,1,32.2,0
4,1,0,220,58.6,0,29.4,1
2,0,0,154,22.2,1,29.3,0
2,2,1,188,19.3,1,23.8,1
4,2,0,133,7.0,0,29.5,0
4,1,1,184,26.2,1,24.0,1
1,2,0,145,8.3,0,27.4,0
4,2,0,163,35.7,0,26.6,1
2,0,0,192,10.4,1,34.2,0
4,1,0,196,71.8,1,22.7,0
0,0,0,168,81.1,0,28.4,0
3,2,1,298,4.9,0,24.1,1
0,0,1,183,0.3,0,24.1,1
0,2,0,221,19.1,1,24.8,0
3,2,0,286,10.1,1,17.9,1
0,0,1,177,24.7,1,29.9,1
1,1,1,136,32.7,1,25.0,0
4,0,0,186,60.1,0,24.9,1
1,0,0,182,28.8,1,19.9,0
2,1,0,232,10.5,0,30.5,1
2,0,1,204,15.1,1,30.4,1
0,0,0,183,6.4,0,28.1,0
3,1,0,323,8.3,1,18.2,0
4,0,1,141,29.8,1,28.9,1
4,2,1,204,88.3,0,28.0,1
1,2,1,216,12.4,1,31.1,1
3,0,0,347,5.6,1,23.3,0
2,0,0,147,60.9,0,26.1,1
0,2,0,182,16.4,0,28.5,0
2,1,1,194,64.3,1,27.1,1
0,2,0,196,64.3,0,26.8,1
4,0,1,164,45.8,0,29.0,1
3,0,0,324,8.0,1,22.2,0
2,0,1,177,34.2,0,27.0,1
0,0,0,139,6.3,1,26.5,0
3,0,0,305,1.9,0,21.5,0
2,0,1,203,22.7,1,32.3,1
4,0,0,146,36.0,0,25.0,0
4,0,0,180,95.3,0,29.2,1
0,2,1,187,28.4,1,23.7,1
1,2,0,216,29.5,1,30.8,1
2,2,1,159,40.9,0,34.1,1
0,0,1,146,1.8,0,32.7,0
3,1,0,294,7.1,0,19.0,0
2,1,1,186,28.3,1,27.9,1
4,1,0,175,95.0,0,25.0,1
3,2,0,334,2.8,1,21.7,0
3,0,0,301,0.6,0,14.7,0
3,0,0,374,13.3,1,23.4,0
1,2,0,197,70.5,1,28.4,1
2,0,0,170,68.3,0,20.7,0
2,2,1,213,20.1,1,30.5,1
3,0,0,299,6.1,1,17.9,0
4,0,0,196,8.0,0,28.5,0
0,2,0,198,10.4,0,29.6,1
0,2,0,142,25.4,0,26.7,0
4,2,0,148,18.6,1,22.6,0
3,2,0,279,6.2,0,17.4,0
4,2,1,177,18.5,0,32.3,1
2,1,1,168,70.5,0,30.0,1
0,1,0,196,25.1,0,26.2,1
4,0,1,139,0.5,1,25.5,0
3,1,0,347,16.6,0,22.5,0
4,1,0,166,18.8,1,23.3,1
3,2,0,309,6.0,0,22.7,0
0,0,0,185,23.1,1,26.5,0
3,2,0,285,18.3,1,18.3,0
0,2,0,202,3.2,1,25.9,0
2,2,0,204,51.3,0,33.6,1
4,1,0,158,2.9,1,30.0,0
0,1,1,164,60.4,1,29.7,1
0,2,0,228,8.2,0,30.9,0
4,1,1,195,14.8,0,31.9,1
2,1,0,204,5.7,0,29.7,0
4,2,0,169,11.3,0,28.3,0
1,0,1,154,82.7,0,29.5,1
0,0,1,202,7.8,0,31.6,0
3,1,0,310,12.9,0,23.5,0
4,2,0,171,8.2,1,25.9,0
3,0,1,307,30.7,0,21.9,1
3,0,0,311,13.4,1,21.5,0
3,1,0,338,3.8,1,19.1,0
2,1,0,167,61.2,0,23.1,1
2,1,0,188,66.6,1,29.0,1
1,2,1,156,43.0,0,27.6,1
2,1,0,204,17.7,0,30.2,1
0,1,0,146,103.9,0,30.6,0
0,1,0,165,29.6,1,21.1,0
1,1,1,167,32.9,1,30.4,1
4,0,0,170,3.9,1,26.4,0
0,2,1,175,30.9,1,31.8,1
4,2,0,173,30.8,1,23.3,0
0,2,1,148,23.9,1,29.5,0
1,1,1,155,11.5,1,34.0,1
0,1,1,179,4.0,0,27.6,0
3,2,0,355,7.7,1,26.8,0
2,0,1,134,4.5,1,29.2,0
0,0,0,192,13.5,0,27.2,0
4,2,1,166,43.6,0,29.8,1
2,0,0,225,97.2,0,27.8,1
2,1,0,192,56.8,0,26.3,1
3,0,0,335,0.5,0,18.3,1
0,2,0,169,96.3,0,25.9,1
3,1,0,298,5.7,0,19.1,0
4,2,1,174,51.6,0,24.8,1
0,1,1,160,3.9,1,32.8,0
4,1,1,168,10.0,0,29.5,1
0,1,1,169,0.2,0,33.2,0
4,0,0,139,84.0,0,26.7,1
2,0,0,211,21.1,1,31.0,0
4,0,0,212,56.9,1,26.3,1
3,0,1,312,2.8,0,18.5,0
3,2,1,346,14.3,0,16.3,1
4,1,1,154,1.2,0,29.6,0
1,0,0,193,4.8,1,30.0,0
3,2,0,348,1.2,0,20.0,0
1,2,1,155,0.7,1,30.3,0
4,0,0,167,19.0,1,24.4,0
1,1,0,141,12.4,1,33.5,0
3,2,0,327,2.8,0,18.8,1
2,0,0,221,33.8,1,27.2,1
1,0,0,179,21.7,1,30.5,0
3,0,0,330,16.8,1,20.9,1
1,0,1,145,13.4,0,28.8,0
2,0,1,169,0.4,1,31.6,0
3,1,1,316,0.8,0,24.3,0
0,2,0,133,11.4,1,27.0,0
2,1,0,162,62.0,0,28.5,1
3,0,0,324,1.1,1,18.6,0
0,2,0,146,57.6,0,25.0,1
4,0,0,144,0.1,0,27.2,0
2,0,0,171,6.4,1,30.5,0
3,1,0,316,18.4,0,23.5,0
4,0,0,179,19.1,0,21.9,1
2,2,0,138,31.0,0,29.0,0
0,1,1,188,20.4,1,25.6,1
0,1,0,177,114.6,1,29.0,1
2,0,0,201,12.2,0,18.5,1
1,0,1,203,25.9,1,32.1,1
4,1,0,175,13.3,0,24.7,1
4,0,0,191,5.1,1,26.3,0
2,0,1,180,6.5,0,28.5,0
1,1,0,199,11.9,0,28.6,0
1,2,0,177,65.5,0,30.8,1
4,0,0,169,20.6,1,28.1,0
0,2,0,143,30.1,0,22.1,1
3,0,0,324,13.5,1,24.0,0
3,1,1,328,1.5,1,22.1,0
2,1,0,130,11.9,0,31.0,0
3,2,1,340,4.2,0,22.9,0
4,2,0,178,6.7,0,30.1,0
1,0,0,209,12.2,0,23.5,0
2,0,0,189,55.9,0,26.3,1
3,2,1,353,0.1,1,24.3,1
0,1,0,179,48.9,1,27.6,0
0,1,1,198,73.5,0,23.4,1
0,1,0,210,0.7,1,28.0,0
3,1,0,342,3.0,0,24.6,0
2,2,0,180,76.3,0,30.3,1
4,0,0,131,91.7,0,27.9,1
4,2,1,179,4.2,1,30.0,0
3,2,0,319,43.7,0,22.9,0
2,1,0,158,10.2,1,29.9,0
1,2,0,158,43.3,0,26.5,1
3,0,1,327,4.9,0,17.5,1
4,2,0,226,10.7,0,25.0,0
0,1,1,160,29.8,1,36.6,0
0,0,0,222,24.5,0,28.1,0
1,1,1,203,65.3,0,27.4,1
4,0,1,208,45.4,1,31.7,1
2,0,1,195,19.3,0,24.0,0
3,0,1,305,1.1,0,20.4,0
1,0,0,150,3.8,0,28.1,0
1,0,0,194,15.7,0,29.7,0
0,1,0,203,6.3,1,28.2,0
4,0,0,166,10.7,1,25.5,0
4,1,0,203,15.1,1,25.4,1
4,0,0,171,4.4,0,27.9,1
1,0,1,238,15.4,0,28.6,1
3,2,0,329,8.1,0,19.2,1
3,1,0,295,13.2,1,21.2,1
3,0,0,323,4.5,0,20.2,0
1,2,0,210,30.6,0,28.4,0
1,2,1,152,56.0,1,24.4,1
4,1,0,175,25.1,1,27.2,0
1,0,0,150,88.5,0,28.0,0
4,2,0,177,9.5,1,24.7,0
3,1,1,311,7.2,1,22.5,0
4,2,0,182,5.8,1,30.9,0
4,1,0,167,13.5,1,27.8,0
3,0,0,314,21.4,1,19.5,0
3,0,0,279,2.1,0,21.9,1
1,2,0,189,4.1,0,30.7,0
1,1,0,212,20.5,1,28.2,0
2,0,1,225,0.2,1,28.1,0
3,2,0,307,13.2,1,19.5,0
4,0,0,122,69.7,1,25.3,1
2,1,1,180,11.4,1,29.0,1
1,2,1,144,14.6,1,29.1,1
2,0,1,183,7.2,1,32.9,0
3,0,0,290,2.2,1,19.0,0
4,2,0,201,52.0,0,25.2,1
3,2,0,289,2.7,0,22.6,0
3,0,0,355,6.9,1,21.6,0
0,0,0,247,11.8,1,27.8,0
0,0,0,148,71.8,0,31.1,1
1,2,0,155,203.2,0,28.6,1
1,1,0,175,44.5,0,32.4,1
4,1,1,174,19.4,1,24.2,1
1,0,0,180,59.8,0,30.2,1
0,0,1,162,7.9,1,25.6,0
3,2,1,326,5.4,1,20.5,0
4,0,0,204,44.4,0,29.6,1
0,0,1,199,48.2,0,30.3,1
0,0,1,170,3.8,1,27.7,0
4,0,0,218,25.9,0,28.4,1
1,0,1,172,10.8,1,18.1,0
2,0,0,129,36.1,0,32.6,1
4,1,0,187,30.8,1,30.0,0
0,0,0,207,10.2,1,32.1,0
1,0,0,181,31.7,0,30.5,1
2,2,0,164,35.2,1,29.9,0
3,2,1,306,3.3,0,17.9,1
2,1,0,173,11.1,0,29.0,0
4,1,0,158,9.2,1,25.7,0
2,0,0,170,39.0,0,26.6,0
4,0,0,243,64.8,0,23.1,1
3,1,1,334,34.9,0,26.5,1
2,0,0,229,54.9,0,28.0,0
0,0,0,171,14.0,1,27.8,0
4,1,0,141,60.6,0,25.2,1
2,1,0,166,3.6,1,26.8,0
2,1,1,189,14.5,0,24.4,1
1,0,1,151,9.5,1,28.1,0
4,0,0,171,44.2,1,32.1,1
2,1,0,192,4.9,1,25.9,0
2,1,0,153,5.5,0,24.6,0
4,2,1,216,14.3,0,25.2,1
3,1,1,346,20.3,1,21.2,1
4,1,0,236,55.5,1,26.0,1
0,0,0,208,0.6,1,33.1,0
0,0,0,180,48.2,0,32.2,1
3,1,0,294,5.2,1,18.5,0
3,0,0,294,11.5,0,18.8,0
2,2,0,150,82.9,0,22.7,1
4,0,1,188,41.6,0,23.8,1
2,0,0,145,32.4,1,25.7,1
2,2,0,173,2.9,1,29.1,0
3,1,1,324,21.3,0,26.9,1
3,2,1,308,11.5,0,23.2,1
1,2,0,179,29.1,1,33.4,0
4,2,0,196,16.5,1,22.0,0
2,0,0,195,230.4,0,28.2,1
0,1,0,157,0.8,1,17.4,0
3,2,0,313,3.2,0,17.5,0
3,0,1,332,12.3,1,20.1,1
4,2,1,235,18.0,1,32.6,0
2,0,1,210,60.6,0,27.1,1
2,1,0,206,9.1,0,24.7,0
1,2,0,168,1.6,1,19.9,0
4,1,0,232,5.5,0,25.0,0
3,1,0,327,5.0,1,23.5,1
0,1,1,180,15.6,1,31.1,0
0,2,0,223,17.7,0,31.9,1
1,2,1,169,3.0,0,29.0,1
4,2,0,159,62.4,0,29.9,1
1,2,1,182,46.6,0,22.8,1
4,1,0,185,11.9,0,25.3,0
4,2,0,167,9.7,1,30.1,0
3,1,0,302,7.5,1,16.8,0
0,0,1,162,0.7,1,25.5,0
0,2,0,203,6.1,0,25.6,0
1,1,1,187,14.4,0,26.0,0
4,0,0,181,54.0,1,21.7,0
0,2,0,211,0.4,1,31.4,0
0,2,0,196,15.2,1,24.5,0
1,2,0,189,5.5,0,22.0,0
3,2,0,343,8.6,0,19.2,0
0,1,0,178,14.7,0,19.7,0
0,2,1,178,15.5,1,22.5,1
3,1,0,317,6.2,0,24.4,0
1,0,1,159,89.0,0,26.2,1
2,0,1,140,31.7,1,24.3,1
4,2,1,151,85.6,0,31.6,1
4,1,0,179,24.3,0,26.5,1
1,0,0,188,25.1,1,21.1,0
4,1,0,176,17.9,1,29.0,0
0,1,0,220,17.5,1,21.7,0
2,0,0,136,5.3,1,21.8,0
3,1,0,312,29.5,0,21.6,0
1,1,0,166,37.7,0,26.9,1
1,2,1,154,17.9,0,28.2,1
3,2,1,330,34.1,1,21.0,1
1,1,1,159,22.9,1,25.4,1
3,2,0,338,7.4,1,23.3,0
4,1,0,232,4.9,1,33.3,0
3,1,1,352,8.6,1,19.4,1
3,2,1,337,18.9,0,17.7,1
3,0,0,343,10.3,1,19.0,1
0,0,0,198,5.6,1,28.5,0
1,2,0,212,149.5,0,30.3,1
2,1,0,214,21.9,1,26.7,0
4,2,0,164,3.5,1,27.7,0
0,0,0,191,1.4,1,33.1,0
3,0,1,303,3.2,1,19.8,0
1,1,0,135,10.4,1,25.8,1
0,1,0,174,73.6,1,26.3,1
1,1,0,212,39.7,0,30.5,1
3,2,0,350,13.0,0,21.6,0
0,0,1,172,45.8,1,29.6,0
1,1,0,164,18.3,1,29.2,0
2,0,0,184,2.0,1,28.2,0
4,1,0,156,17.9,1,26.4,0
3,1,1,309,8.7,0,18.5,1
1,0,0,215,46.4,0,26.5,0
4,2,1,182,7.1,0,28.5,0
1,2,1,167,44.3,0,29.0,1
4,0,0,154,28.6,1,26.7,0
1,0,0,196,3.6,1,27.1,0
1,1,0,137,71.4,0,26.3,1
1,2,0,163,22.4,1,26.9,0
4,1,1,148,10.2,0,31.4,1
3,1,0,361,5.9,0,21.4,0
3,2,1,335,3.2,0,24.5,0
1,1,0,213,32.0,0,25.3,1
1,2,0,196,22.2,1,29.7,0
2,2,0,132,12.2,0,30.2,0
0,2,0,213,4.7,1,27.6,0
1,0,0,165,14.2,0,23.6,0
2,2,1,182,50.4,1,27.0,0
3,0,1,320,0.2,0,14.7,1
4,1,0,162,85.2,1,29.6,0
0,0,1,148,78.4,0,32.5,1
4,0,0,187,50.6,0,22.8,1
2,2,1,202,18.5,1,27.7,1
4,1,1,130,10.5,0,29.0,0
2,2,0,192,47.5,1,26.8,0
4,0,0,173,4.8,1,25.8,0
2,2,1,213,37.3,0,35.3,1
0,1,0,187,13.1,0,25.3,0
2,1,1,140,12.6,0,26.0,1
1,0,0,177,14.6,1,22.8,0
1,0,0,136,0.9,1,29.6,0
0,1,1,206,0.5,1,32.8,1
1,1,0,158,7.8,0,34.8,0
0,0,0,201,28.2,0,34.7,1
4,0,0,196,25.6,1,30.3,0
1,2,0,177,55.6,0,27.8,1
2,0,0,213,61.6,0,27.3,1
0,2,0,101,25.6,0,27.5,1
2,0,0,172,20.3,1,34.8,0
1,0,0,177,66.2,1,35.9,1
0,0,0,173,92.7,1,29.3,0
2,2,0,147,12.8,0,28.3,1
0,2,0,175,24.6,1,34.2,0
1,1,1,193,13.2,1,32.5,1
1,2,0,168,39.0,0,35.9,1
3,0,0,318,19.3,0,24.4,0
1,0,0,145,24.7,0,25.1,0
0,2,0,169,63.9,1,28.9,1
4,1,1,150,78.7,0,30.6,1
0,0,1,190,60.6,0,28.6,1
0,1,0,125,19.8,1,24.8,1
2,1,0,183,56.4,0,26.1,0
0,1,1,157,33.8,0,27.4,1
2,0,0,206,53.4,0,26.3,1
2,2,0,191,9.4,1,28.9,0
3,1,0,325,7.8,0,26.5,0
4,1,1,167,54.1,1,22.6,1
0,0,0,189,30.4,0,30.4,0
3,2,1,305,16.1,1,16.3,1
3,0,0,335,8.8,0,20.9,0
3,2,1,280,11.7,1,20.0,0
3,2,1,343,5.5,1,19.7,0
3,2,1,255,72.0,0,21.9,1
4,1,1,160,14.9,0,34.7,1
4,0,0,141,24.1,1,29.5,0
3,1,1,364,8.4,0,21.2,1
3,0,0,310,10.7,1,18.9,1
3,0,0,326,21.0,1,20.6,1
3,2,0,316,16.4,0,15.7,1
4,2,1,169,83.5,0,35.7,1
1,2,0,142,5.9,0,32.2,0
0,1,0,139,16.2,0,27.1,1
4,0,0,169,19.3,1,24.3,0
1,1,0,188,5.0,1,29.4,0
0,1,0,124,10.1,1,27.3,0
2,0,0,184,13.6,0,30.1,1
3,0,1,321,16.5,0,15.2,1
0,2,0,162,50.9,1,28.2,0
4,2,0,183,13.9,1,24.4,0
0,0,0,221,42.8,0,29.1,1
3,2,0,324,7.1,1,21.6,0
4,1,1,139,55.6,0,25.1,1
1,0,0,190,2.4,0,29.5,0
1,2,1,177,8.3,1,36.3,0
2,1,0,165,16.6,1,28.7,1
1,2,0,180,206.1,0,30.5,1
4,1,0,205,12.3,1,29.4,0
2,1,1,158,16.7,1,26.0,1
3,0,0,310,3.1,1,18.3,0
3,2,0,318,0.2,0,27.8,0
3,1,0,291,35.7,0,21.9,1
1,2,0,189,71.1,0,30.0,1
2,0,0,186,92.6,1,19.5,1
0,2,0,200,81.6,1,22.7,0
3,1,0,292,4.4,1,26.1,0
0,0,1,203,6.4,1,30.7,0
0,1,0,191,61.4,1,28.6,0
4,2,1,213,20.7,1,19.7,1
1,0,1,232,5.2,0,23.4,0
0,1,0,178,8.0,0,28.3,1
3,2,1,332,10.9,0,21.3,1
0,0,0,146,65.6,0,26.1,0
3,1,0,332,25.3,0,19.3,1
3,1,0,315,2.2,1,17.1,0
4,2,0,231,4.3,1,29.7,0
1,1,1,162,105.0,0,23.6,1
1,1,0,197,6.3,1,26.4,0
0,2,0,190,33.0,1,30.1,1
2,2,0,219,1.6,1,22.8,0
2,1,1,176,0.5,1,31.8,0
1,0,0,179,1.6,0,21.6,0
0,0,0,199,4.4,1,23.5,0
0,1,1,202,57.5,0,23.8,1
1,0,1,205,3.1,0,31.4,1
4,1,0,164,59.9,0,32.0,1
0,1,0,210,3.6,1,25.5,0
2,1,0,167,6.4,0,28.7,0
3,0,0,293,3.5,1,18.7,0
4,0,0,174,2.0,1,18.2,0
1,1,0,153,3.9,1,26.2,0
2,0,0,193,29.9,1,28.0,0
3,1,0,322,9.6,0,25.3,1
1,1,1,180,16.4,1,25.6,0
4,2,0,181,28.5,1,33.6,0
3,0,1,345,2.6,0,20.2,0
1,1,1,201,10.0,1,31.1,0
3,0,0,316,11.0,0,18.8,0
2,0,1,211,5.8,0,22.5,1
2,2,0,244,54.6,0,29.5,1
4,0,0,208,9.1,0,27.0,0
0,2,0,196,2.2,0,35.9,0
1,1,1,179,18.7,0,27.0,0
0,1,0,197,19.1,1,22.1,1
3,1,0,322,29.1,1,20.9,0
2,2,1,188,7.3,0,22.2,0
0,2,0,209,37.9,0,26.8,0
1,2,1,151,85.4,0,26.5,1
0,1,0,171,42.6,0,30.5,1
4,0,0,194,4.9,1,29.0,0
4,2,0,178,71.5,0,32.2,0
4,2,1,199,27.7,1,28.6,1
2,2,0,189,177.0,0,30.8,1
1,0,0,192,17.8,1,28.7,0
3,0,0,366,1.9,0,16.8,0
2,2,0,178,3.1,0,27.1,0
3,2,1,313,1.6,1,22.5,0
0,0,0,150,0.8,0,26.9,0
1,2,0,125,10.2,1,23.0,0
0,1,1,183,8.8,0,26.5,1
1,2,0,187,115.9,0,27.7,1
1,2,0,185,194.5,0,27.2,1
0,0,1,200,28.7,1,27.2,1
4,2,1,177,22.3,0,27.0,1
4,1,0,176,121.9,0,26.6,1
2,2,0,181,22.0,1,31.3,0
3,0,0,312,32.9,1,24.7,1
4,2,0,172,76.9,0,28.3,1
3,1,0,340,16.3,1,20.2,0
